"stop_id","stop_name","stop_lon","stop_lat","stop_code"
"909092","Burgdorf(Kreis Hannover) Im langen Mühlenfeld",10.013732,52.449963,""
"909042","Burgdorf(Kreis Hannover) Heinrichstraße",10.013192,52.451257,""
"909020","Burgdorf(Kreis Hannover) Schulzentrum",10.013174,52.43532,""
"909010","Burgdorf(Kreis Hannover) Immenser Straße",10.012878,52.442304,""
"909044","Burgdorf(Kreis Hannover) Am Nassen Berg",10.012869,52.456363,""
"909008","Burgdorf(Kreis Hannover) Kleiner Brückendamm",10.012806,52.447212,""
"909048","Burgdorf(Kreis Hannover) Im Radhop",10.012599,52.461361,""
"909012","Burgdorf(Kreis Hannover) Depenauerweg",10.012392,52.440372,""
"909312","Otze Burgdorfer Straße",10.011736,52.480814,""
"909046","Burgdorf(Kreis Hannover) Bergstraße",10.010406,52.447122,""
"909058","Burgdorf(Kreis Hannover) Wallgartenstraße",10.009489,52.449783,""
"909014","Burgdorf(Kreis Hannover) Geibelstraße",10.008302,52.438996,""
"909000","Burgdorf(Kreis Hannover) Spittaplatz",10.007106,52.446502,""
"909018","Burgdorf(Kreis Hannover) Stadtfriedhof",10.006783,52.435643,""
"909016","Burgdorf(Kreis Hannover) Paradiesweg",10.005021,52.438034,""
"909004","Burgdorf(Kreis Hannover) Bahnhofstraße",10.004365,52.446161,""
"909110","Burgdorf(Kreis Hannover) Bahnhof",10.003691,52.44901,""
"909002","Burgdorf(Kreis Hannover) Bahnhof/Westseite",10.002765,52.449451,""
"909168","Steinwedel Depenauer Ring",10.002693,52.418042,""
"909052","Burgdorf(Kreis Hannover) Marris Mühlenweg",10.000499,52.451383,""
"909054","Burgdorf(Kreis Hannover) Meisenweg",10.000302,52.454619,""
"909242","Schwüblingsen An der Kapelle",10.136848,52.411561,""
"909200","Sievershausen(Lehrte) Zeisigweg",10.135697,52.368467,""
"909192","Sievershausen(Lehrte) Oelerser Straße",10.131634,52.373995,""
"909244","Schwüblingsen Arpker Straße",10.13149,52.405044,""
"909194","Sievershausen(Lehrte) Berliner Straße",10.127787,52.371029,""
"909216","Sievershausen(Lehrte) Siemensstraße",10.126088,52.360898,""
"909162","Sievershausen(Lehrte) Kleegarten",10.125342,52.372027,""
"909240","Schwüblingsen Grafhornstraße",10.12482,52.413799,""
"909202","Hämelerwald Schulzentrum",10.117899,52.35866,""
"909204","Hämelerwald Starenweg",10.116074,52.356718,""
"909210","Hämelerwald Hildesheimer Straße",10.114222,52.346704,""
"909208","Hämelerwald Försterstraße",10.113395,52.352313,""
"909206","Hämelerwald Bahnhof",10.111525,52.354471,""
"909198","Arpke(Lehrte) Schlachterstraße",10.104334,52.381339,""
"909188","Arpke(Lehrte) Am alten Friedhof",10.101466,52.383209,""
"909190","Arpke(Lehrte) Teich",10.10019,52.385403,""
"909186","Arpke(Lehrte) Schwüblingser Straße",10.097808,52.387893,""
"909184","Immensen-Arpke Bahnhof",10.085079,52.392198,""
"909182","Immensen(Lehrte) Kirche",10.064916,52.394796,""
"909180","Immensen(Lehrte) Abzw. Lehrte",10.058938,52.394841,""
"909178","Immensen(Lehrte) Lüneburger Straße",10.058633,52.395875,""
"929176","Immensen(Lehrte) Steinbeck",10.056197,52.399552,""
"909482","Lehrte(b Hannover) Daimlerstraße",10.003061,52.379551,""
